episod,total_reward
1,20.31035532
2,20.2758422986
3,20.0186581629
4,18.4564137747
5,18.6929839158
6,20.1497535374
7,20.4384645367
8,20.7204750412
9,18.0012947534
10,18.3039633573
11,18.2657745122
12,17.6785797304
13,20.8588188723
14,19.9896163167
15,19.9227059536
16,17.37928331
17,17.5859250419
18,17.9639772322
19,17.5037608808
20,20.0991458851
21,20.359084167
22,20.2390138327
23,20.7432728993
24,20.9196657443
25,20.6191652922
26,19.1639333041
27,20.0753232947
28,18.2908749813
29,21.0498984423
30,19.3835761863
31,19.0163133012
32,15.1079101221
33,19.2817286122
34,18.6987012172
35,18.0634283393
36,18.9616144861
37,17.2232787913
38,18.3319972244
39,17.6894035285
40,15.7776274403
41,17.0624148002
42,18.3232344501
43,16.7073379898
44,19.218772697
45,15.8665048931
46,17.6471834194
47,21.5528826276
48,21.061873149
49,21.3303583843
50,20.7448582536
51,20.5586180635
52,21.0393507589
53,20.7400138115
54,19.0582101977
55,20.5144289042
56,20.8311003779
57,21.4648118616
58,18.8281267713
59,18.5172588094
60,21.1947769621
61,20.0898290514
62,20.2955652012
63,20.2049603525
64,20.5682660988
65,20.5827786091
66,20.473023412
67,20.554846979
68,20.3959226019
69,18.9372677227
70,21.2813873144
71,20.7525701856
72,18.3145726079
73,18.939656744
74,18.6179831338
75,18.6742134413
76,19.2203289551
77,19.2918629796
78,21.1010160715
79,20.8949132976
80,18.4492298496
81,21.6380577652
82,18.711748549
83,19.7091510633
84,18.67851704
85,19.9836465595
86,19.9645620831
87,22.5808994625
88,22.7553255575
89,22.8104531459
90,21.556271154
91,21.4276707234
92,21.490078288
93,20.9218356818
94,20.6100220592
95,20.3774312635
96,20.2154395251
97,20.6709752122
98,19.7114320955
99,22.0049694879
100,21.9048586761
101,21.7779998054
102,21.7312600593
103,21.7211777987
104,20.4018717702
105,20.3336406263
106,20.3054006877
107,20.2946187137
108,20.3705035212
109,21.1617838313
110,21.7256855502
111,21.2998231689
112,21.4185663078
113,21.0004049691
114,22.7533510229
115,22.4119337681
116,20.2931945896
117,22.6369030917
118,22.9152636736
119,22.5889476625
120,21.0225144107
121,20.9905032091
122,20.9853051673
123,21.0540374877
124,21.053522275
125,21.0597109717
126,21.3455029979
127,21.0038492881
128,21.0189298621
129,21.1623870853
130,21.5421907862
131,21.7461494458
132,21.8443816799
133,21.7246357671
134,21.7607278854
135,21.8339175158
136,22.1176962811
137,22.1476441271
138,22.2433239496
139,22.3150228428
140,21.6298447554
141,21.5245504111
142,21.4714012232
143,21.9254843263
144,21.6397571989
145,21.9590215072
146,22.0014721336
147,22.0213200071
148,21.3863223293
149,21.0792218462
150,20.3948351032
151,20.0498408124
152,20.0996489956
153,19.8868529061
154,20.0617990297
155,17.1056230896
156,17.125641777
157,17.1994297262
158,17.588997234
159,17.8098811737
160,17.9804111253
161,18.2732050162
162,18.2675636333
163,18.3239696864
164,18.516927173
165,18.8422066444
166,18.9241246198
167,19.049758883
168,19.3113141751
169,19.2790175171
170,19.407386495
171,19.5707275398
172,19.7663593369
173,19.7517579125
174,19.8225558736
175,19.4342172321
176,19.2572072664
177,19.5163321687
178,19.8424709395
179,20.1127070937
180,20.4588547922
181,20.6223165844
182,20.0562036952
183,19.8498453129
184,19.5865184697
185,19.5145109935
186,19.6812466961
187,19.7974916539
188,19.5432659353
189,19.3677511374
190,19.8600900364
191,19.688554272
192,19.7670044994
193,19.3162194251
194,18.7285309756
195,18.6585214438
196,18.8789876443
197,18.7226185927
198,18.720729387
199,18.9173133038
200,18.5934408021
201,18.4729140964
202,17.9615435521
203,18.1236370523
204,18.0082302227
205,17.9957278782
206,18.1500145638
207,18.0761982393
208,18.0785953101
209,17.9816942827
210,17.245205626
211,18.0272054372
212,16.0375212706
213,18.0739325079
214,18.1434853298
215,18.8751956698
216,17.8386425257
217,18.1617673765
218,18.3070405783
219,18.4680633712
220,18.624856171
221,18.6006226535
222,18.7900547936
223,18.8569084828
224,18.9055407615
225,18.9019947062
226,19.102223831
227,18.6964274649
228,18.8864270899
229,18.7597465217
230,18.9007702452
231,18.7399606669
232,18.8153911702
233,19.0637957473
234,17.9491246484
235,17.9481176331
236,19.7549559543
237,21.0044727875
238,19.9419404527
239,20.9974228164
240,21.0584630092
241,21.2689305659
242,22.1888913566
243,22.3863153554
244,20.5760261251
245,20.6828304381
246,21.4284642381
247,21.7224573796
248,22.9404316442
249,21.3286499196
250,22.0926911793
251,21.0908391592
252,20.5393841939
253,21.3194835247
254,20.8431032397
255,19.9469422782
256,15.2969833009
257,22.0321807506
258,22.1993376646
259,21.9382048366
260,19.6969514085
261,20.3773373175
262,20.771084367
263,21.446599056
264,21.4529427203
265,20.8031716483
266,20.2123672802
267,15.2236930248
268,21.0634114008
269,21.001829083
270,20.1780739068
271,19.3784635547
272,18.5465549538
273,17.6180249586
274,17.4544564147
275,18.6118165234
276,17.3821530744
277,16.8271244047
278,17.2141685263
279,18.3180058139
280,18.3446486471
281,15.9735997917
282,19.9646040051
283,16.7010816347
284,12.9897702033
285,9.51197291537
286,15.3637303102
287,17.127616879
288,17.1209048514
289,16.7825122315
290,12.5999162406
291,12.670259557
292,8.58888861622
293,8.41532550015
294,9.63032944963
295,7.78557299346
296,8.9277658115
297,9.1655557715
298,7.96028365344
299,9.27750497646
300,5.95633789701
301,5.21707362549
302,4.78383282571
303,1.11350238776
304,0.0339544598325
305,-0.190976279705
306,-3.09632967522
307,-3.01024255721
308,-5.00063736864
309,-7.90572209928
310,-11.631555724
311,-15.0957438581
312,-21.8058717466
313,-31.2618358052
314,-37.9293981633
315,-49.5308424078
316,-57.3876531113
317,-63.324002941
318,-74.8141063464
319,-159.862851859
320,-173.786949967
